idKorisnik,username,JMBG,ime,prezime,pol,datRodj,adresa,telefon,email,NASELJE_IDNASELJE
1,SokaČapaković,1801969945539,Soka,Čapaković,F,1969-01-18,NESTORA ŽUČNOGA 10,+381 69 582 6277,,791016
2,RatkoČobanović,2009979250563,Ratko,Čobanović,M,1979-09-20,ŠUMATOVAČKA 52,+381 69 215 8233,RatkoČobanović@yahoo.com,791024
3,VuleVijatović,2401971551975,Vule,Vijatović,M,1971-01-24,NIKOLAJA HARTVIGA 20,+381 60 775 3442,VuleVijatović@yandex.ru,791024
4,anastasijap5537,0201990547738,Anastasija,Petrićević,F,1990-01-02,MIHAILA ŠOLOHOVA 14,+381 66 661 6110,anastasijap5537@gmail.com,704865
5,ZvonkaVidojević,1107930845303,Zvonka,Vidojević,F,1930-07-11,SAVE MRKALjA 20,+381 68 133 1104,,704865
6,JevtaTričković,0705956311216,Jevta,Tričković,M,1956-05-07,MIHAILA ŠOLOHOVA 69,+381 63 173 5482,,704865
7,ljubivojemo2602,1811976574197,Ljubivoje,Momčilović,M,1976-11-18,PETKOVAČKA 17,+381 65 173 0421,,704865
8,bogdankatrp7685,2801927395892,Bogdanka,Trpković,F,1927-01-28,ZRENJANINSKI PUT 122I,+381 65 510 5622,,704865
9,radašinbasu198,0701980072568,Radašin,Basurović,M,1980-01-07,BOŽIDARA TERZIĆA 12,+381 63 053 0177,radašinbasu198@yandex.ru,704865
10,makivijanja1845,0806953515153,Makivija,Njagojević,F,1953-06-08,BEGEJSKA 20,+381 69 871 2407,,804380
11,evanabratel2037,0603955806793,Evana,Brateljević,F,1955-03-06,ĐORĐA VOJNOVIĆA 275,+381 66 361 7064,,801747
12,biljanarača4934,0801926555688,Biljana,Račanović,F,1926-01-08,PRVOMAJSKA 94,+381 66 352 7753,,801747
13,JagodaĆirković,1308926479290,Jagoda,Ćirković,F,1926-08-13,LAZE KOSTIĆA 55,+381 60 067 5812,,801313
14,KrstaDabesković,1804002682332,Krsta,Dabesković,M,2002-04-18,VOJVODE MIŠIĆA 140,+381 63 223 1143,KrstaDabesković@gmail.com,801321
